Text,Topic
Die #Berliner_Feuerwehr stellte während der Ermittlungen den Brandschutz sicher. Im Anschluss wurde die Person aus dem Pkw durch die Spezialkräfte des Technischen Dienstes und der Lehrfeuerwache geborgen. 34 Einsatzkräfte waren vor Ort tätig.  ,Verkehrsunfall
"In der Karl-Liebknecht-Str. In #Mitte erfasste eine #Straßenbahn gegen 2 Uhr heute Morgen 4 Personen, die dort versucht hatten, die Gleise zu überqueren. Dabei wurde eine Person tödlich verletzt. Die 3 anderen Personen wurden, ebenso wie der Tramführer, leicht verletzt.",Verkehrsunfall
#Verkehrsunfall auf der #Prenzlauer_Promenade in #Pankow zwischen 2 PKW und einem #BVG_Bus. Ein PKW überschlug sich und musste durch unsere Spezialkräfte des #TD geborgen werden. 2 #leichtverletzte Personen wurden rettungsdienstlich versorgt. 21 Kräfte waren vor Ort. #LFW  ,Verkehrsunfall
Schwerer #Verkehrsunfall in der #Adamstraße in #Wilhelmstadt Dabei überschlug sich 1 Pkw und blieb auf dem Dach liegen. Der Fahrer wurde lebensgefährlich verletzt aus dem Pkw gerettet und erfolgreich reanimiert. #Ersthelfer und @polizeiberlin unterstützten in der Initialphase.  ,Verkehrsunfall
#Verkehrsunfall in #Lankwitz #Leonorenstraße Zwei Personen wurden von einem Bus erfasst und eingeklemmt. Mit Rettungsgeräten vom #Rüstwagen der @Berliner_Fw musste der Bus angehoben werden. Eine Person kam schwer verletzt in eine Klinik. Die zweite Person ist am Ort verstorben.  ,Verkehrsunfall
"#Verkehrsunfall in #Mitte Auf einer Einsatzfahrt kam es zum Unfall zwischen dem vollelektrischen Lösch-und Hilfeleistungsfahrzeug #eLHF der @Berliner_Fw und einem Pkw. Aus dem Pkw kamen eine Person nach Versorgung durch Notarzt, aus dem LHF eine Einsatzkraft, verletzt in Kliniken  ",Verkehrsunfall
Unsere #Lehrfeuerwache (LFW) wächst und geht heute an ihrem neuen und dritten Standort auf der #FW_Buckow an den Start. Damit stehen unseren Nachwuchskräften nun 3 „LHF-LFW“ für ihr Praktikum zur Verfügung. Erste Standorte: #FW_Suarez (1) und #FW_Wedding (2). #WirRettenBerlin  ,Feuerwehr-News
Ein halbes Jahr Arbeit und Herzblut steckt in unserer Kampagne #DieRichtigeNummerImRichtigenMoment. Wir sagen Dankeschön – insbesondere an die Kolleg:innen unserer Leitstelle der #BerlinerFeuerwehr und des Ärztlichen Bereitschaftsdienstes der KV Berlin. @hauptstadt_kv  ,Feuerwehr-News
"Was tust du bei einer Erkältung? Pascal von der @hauptstadt_kv  zählt einige Möglichkeiten bei geschlossener Hausarztpraxis oder am Wochenende auf. Welche Hausmittelchen oder Tricks von Oma helfen dir, damit es dir schnell wieder besser geht?  #DierichtigeNummerimrichtigenMoment  ",Feuerwehr-News
"Nach 12 Stunden beenden wir das #TwitterGewitter2023. Während dieser Zeit hat unsere #Leitstelle fast 850 Alarme angelegt. Wir haben dazu fast 400 Tweets für euch abgesetzt. Stab Kommunikation der Berliner Feuerwehr. Ohne Quittung, Ende. #112live #Berlin112",Feuerwehr-News
Übrigens: seit diesem Jahr sind wir mit unserem neuen Format #RettungsDienstag am Start. Jeden ersten Dienstag im Monat gibt es Informationen zum Thema #Rettungsdienst. Schaut dazu auch auf unserem Instagram- und Facebook-Kanal vorbei. #Berlin112 #112Live,Feuerwehr-News
"Ab wann ist ein Sturz von der Leiter gefährlich? Ina aus unserer Leitstelle, ordnet diese Situation ein und erklärt, wann sicherheitshalber die 112 angerufen werden sollte. Sie erklärt dir außerdem, was nach der Leitstellenabfrage passiert.  #DierichtigeNummerimrichtigenMoment  ",Feuerwehr-News
"Welche Auswirkungen haben eigentlich unbegründete Anrufe bei der Berliner Feuerwehr? Das erklärt uns Ina, eine unserer Notrufbearbeiterinnen.    Unsere Bitte an euch:  Helft uns dabei, unsere Rettungsfahrzeuge vernünftig einzusetzen.   #DierichtigeNummerimrichtigenMoment  ",Feuerwehr-News
"Bevor du im Krankheitsfall gleich zum Hörer greifst, wirf einen Blick in deine Hausapotheke und versuch dir bei leichten Beschwerden selbst zu helfen. Hier erfährst du auf einen Blick, was zu deren Grundausstattung gehören sollte.   Zusammen mit @hauptstadt_kv  ",Feuerwehr-News
"Die Einsatzkräfte waren überwältigt von der #Hilfe der #Passanten und lobten das couragierte Verhalten.  Sollte sich jemand als Ersthelfer/in des gestrigen Einsatzes angesprochen fühlen, dann gerne mal eine Mail mit Kontaktdaten an pressestelle@berliner-feuerwehr.de senden.",Feuerwehr-News
Ihr habt noch Platz in euren Terminkalendern 🗓 ? Dann aufgemerkt 👂und am besten gleich einspeichern 📝. Feuerwehrfans 🚑🚒 dürfen sich freuen: spannende Termine warten auf euch. 🥳  ,Feuerwehr-News
Einmal Zahlen bitte:   187 Einsätze wurden zwischen 8 Uhr heute Morgen und 10:30 Uhr von der Leitstelle der @Berliner_Fw angelegt.  Das bedeutet durchschnittlich alle 48 Sekunden ein neuer Einsatz in #Berlin.   #112live #Berlin112,Ausnahmezustand
Bilanz: Seit 19:45 Uhr ist der #AZ_Wetter beendet und die @Berliner_Fw hat 100 wetterbedingte Einsätze abgearbeitet. Die #Freiwillige_Feuerwehr unterstützte mit 26 zusätzlichen Fahrzeugen und knapp 150 Kameradinnen und Kameraden. #WirRettenBerlin gemeinsam!,Ausnahmezustand
Die vorläufige Bilanz der letzten Nacht:     Selbst erfahrene Einsatzkräfte waren über die Aggressivität und Gewaltbereitschaft durch zum Teil vermummte Gruppen geschockt. Allen 15 verletzten Einsatzkräften Gute Besserung.,Ausnahmezustand
Die Berliner Feuerwehr befindet sich seit 19:55 Uhr im Ausnahmezustand Silvester. Seit Beginn wurden wir bereits zu 72 Brandeinsätzen alarmiert.,Ausnahmezustand
Es gibt eine amtliche #Unwetterwarnung für #Berlin vor schwerem #Gewitter mit heftigem #Starkregen. Bleiben sie wenn möglich Zuhause und beachten sie bitte unsere Hinweise zum Thema #Unwetter:  ,Ausnahmezustand
Aufgrund der möglichen #Unwetterlage haben wir vorsorglich mehrere  #Freiwillige_Feuerwehr|en auf Berufsfeuerwachen in Dienst gerufen.  Sie stehen uns damit im Falle steigender Notrufe unverzüglich zur Verfügung um Euch zu helfen. #Danke #Ehrenamt    ,Ausnahmezustand
Seit 16:00 Uhr ist der #Ausnahmezustand beendet. #Ylenia und #Zeynep haben uns fast 4000 Wettereinsätze beschert. Das Sturmtief #Antonia kündigt sich für die nächsten Stunden an. Geben Sie auf einander acht.   ,Ausnahmezustand
Seit 15 h sind wir im #Ausnahmezustand_Wetter und noch ist kein Ende in Sicht. Bisher haben wir 1342 wetterbedingte #Einsätze aufgenommen. Aktuell laufen davon 669 Einsätze und halten uns in Atem.   ⚠️ Geben sie aufeinander Acht ⚠️ #Orkantief #Zeynep     ,Ausnahmezustand
"Fazit zum #Sturmtief #Ylenia: die @Berliner_Fw hat in 24 Stunden am 17. Februar insgesamt 2753 Einsätze in #Berlin bewältigt, darunter waren allein 1366 wetterbedingte Einsätze.   Kompletter Bericht unter:  ",Ausnahmezustand
Derzeit haben wir eine sehr hohe Auslastung Bereich der #Notfallrettung. Unsere Rettungswagen fahren ununterbrochen. Wir haben vor wenigen Minuten den  AZ Rettungsdienst  ausgerufen und nehmen nun weitere RTW in Dienst. #Berlin112 #112live,Ausnahmezustand
Durch die schwierigen Geländeverhältnisse hat sich ein #LHF bei dem Einsatz #festgefahren. Kommt vor! Auf den Einsatzverlauf hatte dies keinen Einfluss. Unsere #Spezialkräfte vom #Technischen_Dienst rückten mit dem #Rüstwagen an und zogen das LHF wieder raus. #GoodJob  ,Technische-Hilfeleistung
#Technische_Hilfeleistung in der Nähe der Straße #Freiheit in #Spandau. Dort lag am Abend ein umgestürzter Baum auf dem Gleis einer industriell genutzten Bahn und versperrte einer Lok den Weg. Wir zersägten den Baum und räumten die Teile vom Gleis. Die Lok rollt wieder. #EstuK  ,Technische-Hilfeleistung
"In #Wittenau drohte ein #Baum auf die #Oranienburger_Str zu stürzen. Wir haben ihn mittels #DLK, mehrerer #Sägen und viel #Muskelkraft abgetragen und die Straße wieder freigeräumt. Im Einsatz waren 18 Kräfte. @VIZ_Berlin: Die Straße ist wieder frei und der Verkehr rollt. #EstuK  ",Technische-Hilfeleistung
"Einsatz unserer #Höhenrettung und weiterer Kräfte in der #Wörther_Str. in #Prenzlauer_Berg. Dort drohten etwa 40qm Dachhaut eines Wohngebäudes abzustürzen, welche zuvor durch starken Wind teilweise abgerissen wurde. Wir sicherten die losen Teile. Auch 2 #DLK waren im Einsatz.  ",Technische-Hilfeleistung
#Ausnahmezustand_Wetter In der #Lortzingstrasse in #Lichtenrade waren Christoph und Dennis von der  #Freiwilligen_Feuerwehr zuerst vor Ort. Ein Baum droht auf ein Haus zu stürzen . Unser Kran kommt nun zum Einsatz. #Ehrenamt  ,Technische-Hilfeleistung
#Technische_Hilfeleistung in der #Trelleborger_Straße in #Pankow. Dort sind zwei große Bäume gegen eine Hauswand gestürzt. Unsere Rüstgruppe wurde nachalarmiert. Update folgt.,Technische-Hilfeleistung
"Einsatz dauert an. Ein nichtbeladener Lkw ist von einer Fähre, die zwischen der Insel Scharfenberg und dem Festland pendelt, heruntergerollt. Derzeit führen unsere Taucher gemeinsam mit der Rüstgruppe die Bergung durch. Die FF Tegelort ist mit ihrem Mehrzweckboot im Einsatz.  ",Technische-Hilfeleistung
"#Update Spezialkräfte des #Technischen_Dienstes der @Berliner_Fw haben den Transporter geborgen. Im Einsatz waren unter anderem der #Feuerwehrkran unserer #Rüstgruppe, die #FeuerwehrTaucher und ein #Mehrzweckboot der #FF. @VIZ_Berlin: Die Straßensperrung ist aufgehoben. #Estuk  ",Technische-Hilfeleistung
"#TH in #Lichterfelde Wir sind in der #Drakestraße im Einsatz. Hier liegt ein Baum auf der Straße, welcher von den Spezialisten des #TD der @Berliner_Fw beseitigt wird. Die Straße ist momentan in beide Richtungen gesperrt. @VIZ_Berlin  ",Technische-Hilfeleistung
#Technische_Hilfeleistung in #Mitte  Wir sind auf dem Dach eines Hotels im 40.Stock am #Alexanderplatz im Einsatz. Dort droht ein „Buchstabe“ auf die Dachterrasse abzustürzen. Unsere Spezialisten der #Höhenrettung prüfen nun weitere Maßnahmen.,Technische-Hilfeleistung
Auf dem #Müggelsee in #Köpenick war ein Sportboot in Notlage geraten. 2 Menschen retteten sich ans Ufer und werden von uns medizinisch versorgt. Boot wird von der #FF gesichert.,Wasserrettung
#Bootsbrand in #Hakenfelde 54 Kräfte und #Umweltdienst der @Berliner_Fw wurden zu einem Bootsbrand in der #Carossastraße alarmiert. Dort brannte ein Kajütsegelboot. Die Brandbekämpfung erfolgte von der Landseite. Boot gesichert und an @polizeiberlin #Wasserschutzpolizei übergeben  ,Wasserrettung
"#Wasserrettungseinsatz in #Grünau #Langer_See Ein gekentertes Segelboot drohte zu sinken. Die #WSP der @polizeiberlin rettete eine Person. Kräfte der @Berliner_Fw zogen das Boot an einen Steg, konnten es mit Hilfe von Lenzpumpen heben. 32 Kräfte waren 4 h im Einsatz. #GoodJob  ",Wasserrettung
"Update: Mit 6 Tauchtrupps, 3 Booten (teils mit Sonar) der Feuerwehr und Hilfsorganisationen, #Wasserschutzpolizei @polizeiberlin, unterstützt von @PolizeiBB mit #Polizeihubschrauber, wurde die #Spree über 2 h abgesucht. Person konnte nicht gefunden werden. Einsatz jetzt beendet.  ",Wasserrettung
"#Person_im_Wasser Die @Berliner_Fw wurde um 22:30 zur Lutherbrücke in Moabit alarmiert. Eine Person konnte mit Hilfe unserer #Taucher in Sicherheit gebracht werden und wurde unterkühlt dem Rettungsdienst übergeben. Vor Ort waren 36 Kräften,darunter auch die Wasserwacht des @DRK.  ",Wasserrettung
#Wasserrettungseinsatz in #Heiligensee Unsere Einsatzkräfte und #Taucher #Technischer_Dienst suchen eine vermisste Person im Wasser an der Badestelle #Sandhauser_Straße.  Weitere Infos folgen...  ,Wasserrettung
Zwei Jugendliche brachen heute Nachmittag auf der #Oberhavel in #Hakenfelde ins Eis ein. Ein mutiger Spaziergänger rettete die zwei noch vor Eintreffen der Feuerwehr aus ihrer Notlage. Alle drei wurden mit #Unterkühlungen in Kliniken gebracht.,Wasserrettung
In #Niederschöneweide hat eine Personen einen Hund aus dem Wasser gerettet und ist nun unterkühlt. Wir schicken sofort einen RTW.  Achtung: Begebt euch nicht selbst in Gefahr. Das eisige Wasser wird leicht unterschätzt und kann zur großen Gefahr werden.  #Berlin112 #112live,Wasserrettung
"Seit heute Morgen wurden wir bereits zu 3 #Badeunfällen gerufen. Am #Teufelssee ertrank heute früh ein Mann. Am #Habermannsee geriet ein Kind in Not, konnte aber gerettet und ins Khs. gebracht werden. In #Britz retteten Passanten einen Mann aus dem #Teltowkanal, Reanimation!",Wasserrettung
"An der #Elsenbrücke in #Friedrichshain stürzte eine Person in die #Spree. Ein #Zeuge begab sich beherzt ins Wasser um diese zu #retten. Der #Ersthelfer zog die Person ans Ufer, wo ein weiterer #Helfer bis zum Eintreffen der @Berliner_Fw diese sicherte. #EngelDerGroßstadt #goodjob",Wasserrettung
